Time,V(0),V(N001),V(N002),V(N003),V(N004),V(N005),I(C1),I(I1),I(I2),I(L1),I(L2),I(R1),I(R2),I(R3),I(R4),
0.0015,0,7.3417,-0.408311,-0.186852,3.94012,-0.0167726,0.00340158,0.0809017,0.0809017,0.0447343,0.0361674,-0.00340158,-0.039569,-0.0775001,-0.00340158,
0.00155,0,7.4688,-0.447571,-0.208389,3.92442,-0.0311704,0.00354438,0.0827081,0.0827081,0.0466965,0.0360115,-0.00354438,-0.0395559,-0.0791637,-0.00354438,
0.0016,0,7.58757,-0.487135,-0.229525,3.90186,-0.0452394,0.00368571,0.0844328,0.0844328,0.0486475,0.0357853,-0.00368571,-0.039471,-0.0807471,-0.00368571,
0.00165,0,7.69791,-0.52698,-0.250243,3.8726,-0.0589777,0.00382531,0.0860742,0.0860742,0.0505838,0.0354904,-0.00382531,-0.0393158,-0.0822489,-0.00382531,
0.0017,0,7.79969,-0.567081,-0.27053,3.83676,-0.0723832,0.00396293,0.0876307,0.0876307,0.0525021,0.0351285,-0.00396293,-0.0390915,-0.0836677,-0.00396293,
0.00175,0,7.89282,-0.607412,-0.290369,3.7945,-0.0854535,0.00409832,0.0891007,0.0891007,0.0543994,0.0347013,-0.00409832,-0.0387996,-0.0850023,-0.00409832,
0.0018,0,7.9772,-0.647947,-0.309748,3.74597,-0.0981864,0.00423123,0.0904827,0.0904827,0.0562724,0.0342103,-0.00423123,-0.0384416,-0.0862515,-0.00423123,
0.00185,0,8.05274,-0.688658,-0.328651,3.69131,-0.110579,0.00436144,0.0917755,0.0917755,0.058118,0.0336574,-0.00436144,-0.0380189,-0.087414,-0.00436144,
0.0019,0,8.11938,-0.729515,-0.347065,3.63067,-0.12263,0.00448871,0.0929776,0.0929776,0.0599334,0.0330443,-0.00448871,-0.037533,-0.0884889,-0.00448871,
0.00195,0,8.17703,-0.770491,-0.364976,3.56421,-0.134335,0.00461283,0.0940881,0.0940881,0.0617155,0.0323726,-0.00461283,-0.0369854,-0.0894753,-0.00461283,
0.002,0,8.22565,-0.811554,-0.382372,3.49208,-0.145693,0.00473358,0.0951057,0.0951057,0.0634615,0.0316441,-0.00473358,-0.0363777,-0.0903721,-0.00473358,
0.00205,0,8.26519,-0.852674,-0.399238,3.41444,-0.1567,0.00485075,0.0960294,0.0960294,0.0651687,0.0308606,-0.00485075,-0.0357114,-0.0911786,-0.00485075,
0.0021,0,8.2956,-0.893819,-0.415563,3.33145,-0.167355,0.00496415,0.0968583,0.0968583,0.0668345,0.0300239,-0.00496415,-0.034988,-0.0918942,-0.00496415,
0.00215,0,8.31685,-0.934958,-0.431334,3.24326,-0.177654,0.00507359,0.0975917,0.0975917,0.0684561,0.0291356,-0.00507359,-0.0342092,-0.0925181,-0.00507359,
0.0022,0,8.32893,-0.976058,-0.446539,3.15005,-0.187596,0.00517887,0.0982287,0.0982287,0.0700311,0.0281976,-0.00517887,-0.0333765,-0.0930499,-0.00517887,
0.00225,0,8.33181,-1.01709,-0.461168,3.05198,-0.197176,0.00527983,0.0987688,0.0987688,0.0715571,0.0272117,-0.00527983,-0.0324916,-0.093489,-0.00527983,
0.0023,0,8.32551,-1.05801,-0.475209,2.94921,-0.206394,0.0053763,0.0992115,0.0992115,0.0730317,0.0261798,-0.0053763,-0.0315561,-0.0938352,-0.0053763,
0.00235,0,8.31002,-1.09879,-0.488651,2.84192,-0.215246,0.0054681,0.0995562,0.0995562,0.0744527,0.0251035,-0.0054681,-0.0305716,-0.0940881,-0.0054681,
0.0024,0,8.28536,-1.1394,-0.501486,2.73027,-0.223731,0.00555509,0.0998027,0.0998027,0.0758178,0.0239849,-0.00555509,-0.02954,-0.0942476,-0.00555509,
0.00245,0,8.25155,-1.1798,-0.513702,2.61443,-0.231846,0.00563712,0.0999507,0.0999507,0.077125,0.0228256,-0.00563712,-0.0284628,-0.0943135,-0.00563712,
0.0025,0,8.20863,-1.21996,-0.525292,2.49458,-0.23959,0.00571405,0.1,0.1,0.0783723,0.0216277,-0.00571405,-0.0273417,-0.094286,-0.00571405,
0.00255,0,8.15665,-1.25985,-0.536246,2.3709,-0.246959,0.00578574,0.0999507,0.0999507,0.0795578,0.0203929,-0.00578574,-0.0261786,-0.0941649,-0.00578574,
0.0026,0,8.09564,-1.29942,-0.546557,2.24357,-0.253953,0.00585208,0.0998027,0.0998027,0.0806795,0.0191231,-0.00585208,-0.0249752,-0.0939506,-0.00585208,
0.00265,0,8.02568,-1.33864,-0.556217,2.11275,-0.26057,0.00591293,0.0995562,0.0995562,0.0817359,0.0178203,-0.00591293,-0.0237332,-0.0936433,-0.00591293,
0.0027,0,7.94684,-1.37749,-0.565219,1.97864,-0.266809,0.00596821,0.0992115,0.0992115,0.0827252,0.0164862,-0.00596821,-0.0224544,-0.0932433,-0.00596821,
0.00275,0,7.85919,-1.41591,-0.573557,1.8414,-0.272667,0.00601779,0.0987688,0.0987688,0.0836459,0.0151229,-0.00601779,-0.0211407,-0.092751,-0.00601779,
0.0028,0,7.76283,-1.45389,-0.581225,1.70123,-0.278145,0.00606159,0.0982287,0.0982287,0.0844966,0.0137322,-0.00606159,-0.0197938,-0.0921671,-0.00606159,
0.00285,0,7.65784,-1.49138,-0.588217,1.55831,-0.283241,0.00609953,0.0975917,0.0975917,0.0852757,0.012316,-0.00609953,-0.0184155,-0.0914921,-0.00609953,
0.0029,0,7.54433,-1.52835,-0.59453,1.41282,-0.287954,0.00613151,0.0968583,0.0968583,0.0859821,0.0108762,-0.00613151,-0.0170077,-0.0907268,-0.00613151,
0.00295,0,7.42243,-1.56476,-0.600158,1.26494,-0.292284,0.00615748,0.0960294,0.0960294,0.0866146,0.00941478,-0.00615748,-0.0155723,-0.0898719,-0.00615748,
0.003,0,7.29224,-1.60059,-0.605099,1.11487,-0.29623,0.00617737,0.0951057,0.0951057,0.087172,0.00793363,-0.00617737,-0.014111,-0.0889283,-0.00617737,
0.00305,0,7.1539,-1.6358,-0.609349,0.962784,-0.299793,0.00619111,0.0940881,0.0940881,0.0876534,0.00643466,-0.00619111,-0.0126258,-0.087897,-0.00619111,
0.0031,0,7.00755,-1.67035,-0.612907,0.808874,-0.302973,0.00619868,0.0929776,0.0929776,0.0880579,0.0049198,-0.00619868,-0.0111185,-0.086779,-0.00619868,
0.00315,0,6.85333,-1.70421,-0.61577,0.653326,-0.30577,0.00620001,0.0917755,0.0917755,0.0883845,0.00339095,-0.00620001,-0.00959096,-0.0855755,-0.00620001,
0.0032,0,6.69141,-1.73735,-0.617938,0.496327,-0.308184,0.00619508,0.0904827,0.0904827,0.0886327,0.00185003,-0.00619508,-0.00804511,-0.0842876,-0.00619508,
